,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
274,1703725200.0,4.329062450215393e+18,2446.508161072716,2413.562297456119,2417.674878254764,2.5390821626320094e+33,1.2301848026404957e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
275,1703721600.0,4.141607799487168e+18,2453.8310082164808,2379.756588811629,2433.082294166094,2.5387735630423964e+33,1.2300509654476772e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
276,1703718000.0,9.003975173197784e+18,2391.422852154821,2354.0331318545313,2378.8955513265764,2.538219996527922e+33,1.2298614165903213e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
277,1703714400.0,9.583440864868141e+18,2372.3196066047835,2360.5413320113125,2365.806325242007,2.5380586896718293e+33,1.2298031548876891e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
278,1703710800.0,9.93588998484106e+18,2362.530487246839,2350.626469423511,2360.5503646721186,2.537986529129908e+33,1.2297765437412534e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
279,1703707200.0,1.1778553085089841e+19,2356.9808859033174,2347.585643766962,2351.9293007683555,2.5379214524043406e+33,1.2297553422870369e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
280,1703703600.0,1.2533329240242485e+19,2352.5238122806654,2341.1913178326167,2346.226189094346,2.537866040320861e+33,1.229736043681848e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
281,1703700000.0,1.0942286500663554e+19,2352.6097983405884,2334.206835176689,2351.358398489106,2.537825474559396e+33,1.2297147042850022e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
282,1703696400.0,1.0889273256070179e+19,2369.844834311452,2344.6063565559825,2345.650852065139,2.537711756106692e+33,1.2296706924750512e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
283,1703692800.0,9.230294549507238e+18,2376.807704585638,2339.7155516557114,2365.793916860448,2.537632260793905e+33,1.2296219469614479e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
284,1703689200.0,1.3231130907958127e+19,2355.9314156994737,2327.9447213031754,2343.7009968697766,2.5374799730933618e+33,1.2295739109524338e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
285,1703685600.0,1.5384413497481935e+19,2338.21141343926,2291.9727130583383,2327.957893411459,2.5372980593094474e+33,1.229508118106045e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
